"송신 서버 번호","데이터 번호","패킷 사이즈","데이터 사이즈","패킷 구분 명","패킷 명","패킷 길이","패킷 단위","패킷 범주","설명","정렬 순서","공개 구분 명"
"40","1","69","55","테일","전력량6","5","Wh","Null / 0~3520","10분 동안의 누적 전력량(합)","200","개방"
"40","1","69","55","테일","조도6","3","%","Null / 0~100","10분 동안의 가장 밝은 조도 값 100% : 밝음 0% : 어두움","210","개방"
"41","1","121","99","헤더","시리얼","14","","","시리얼","20","개방"
"41","1","121","99","테일","사용시간(초)","5","","","사용시간(초)","50","개방"
"41","1","121","99","테일","반납여부","2","","","반납여부","60","개방"
"41","1","121","99","테일","대여위도","16","","","대여위도","70","개방"
"41","1","121","99","테일","대여경도","16","","","대여경도","80","개방"
"41","1","121","99","테일","반납경도","16","","","반납경도","100","개방"
"42","1","56","38","테일","미세먼지","4","㎍","0 ~ 9999","미세먼지","50","개방"
"42","1","56","38","테일","초미세먼지","4","㎍","0 ~ 9999","초미세먼지","60","개방"
"43","1","35","4","헤더","모델명","13","","SCMS-SEOUL-SD","모델명","10","개방"
"43","1","35","4","헤더","시리얼","18","","SCMS-SEOUL-SD-0001 ~ SCMS-SEOUL-SD-0006","시리얼","20","개방"
"43","1","35","4","테일","보행자수","4","","0 ~ 1000","카운트","30","개방"
"44","1","47","41","헤더","시리얼","4","","","","2","개방"
"44","1","47","41","테일","측정시간","18","년월일시분","","측정시간","3","개방"
"44","1","47","41","테일","항공기코드","10","호","","항공기콜사인","4","개방"
"44","1","47","41","테일","소리크기","13","db","","데시벨","5","개방"
"47","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"47","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"47","1","185","167","테일","초미세먼지","4","㎍/㎥","0~1500","10분 평균 초미세먼지","40","개방"
"47","1","185","167","테일","미세먼지","4","㎍/㎥","0~1500","10분 평균 미세먼지","50","개방"
"47","1","185","167","테일","기온","7","℃","-40.0~120.0","10분 평균 기온","60","개방"
"47","1","185","167","테일","상대습도","3","%","0~100","10분 평균 상대습도","70","개방"
"47","1","185","167","테일","풍향","4","°","0~360","10분 평균 풍향","80","개방"
"47","1","185","167","테일","풍속","7","m/s","0.0~100.0","10분 평균 풍속","90","개방"
"47","1","185","167","테일","돌풍 풍향","4","°","0~360","10분 돌풍 풍향","100","개방"
"47","1","185","167","테일","돌풍 풍속","7","m/s","0.0~100.0","10분 돌풍 풍속","110","개방"
"47","1","185","167","테일","조도","6","lux","0~120000","10분 평균 조도","120","개방"
"47","1","185","167","테일","자외선","7","UVI","0.0~16.0","10분 평균 자외선","130","개방"
"47","1","185","167","테일","소음","2","㏈","35~85","10분 평균 소음","140","개방"
"47","1","185","167","테일","진동(x)","7","g","0.00~16.00","10분 평균 진동(x)","150","개방"
"61","1","73","45","테일","BT","4","","0 ~ 9999","BLE OFF TIME","60","개방"
"61","1","73","45","테일","RS1","2","","0 ~ 16","주/출차 판단기준 값","70","개방"
"61","1","73","45","테일","RT","2","","","레이더 모듈의 Threshold 값","80","개방"
"61","1","73","45","테일","RI","3","","0 ~ 255","레이더 스캔주기 설정 값","90","개방"
"61","1","73","45","테일","RSSI","3","","","신호강도","100","개방"
"61","1","73","45","테일","SNR","2","","","신호 대 잡음비","110","개방"
"61","1","73","45","테일","FV","4","","","펌웨어 정보표시","120","개방"
"61","1","73","45","테일","OS","4","","HHMM","절전모드 시작 시간 설정 값","130","개방"
"61","1","73","45","테일","OD","4","","0 ~ 1440","절전모드 동작 기간 설정","140","개방"
"61","1","73","45","테일","TS","12","","YYMMDDHHmmSS","StatusReport 생성 시간정보","150","개방"
"30","1","202","184","테일","돌풍 풍속","7","m/s","0.0~100.0","2분 돌풍 풍속","100","개방"
"31","1","56","38","테일","진동(y) 최대","1","","0~1","센서 상태 코드 : 1정상. 0비정상","180","개방"
"34","1","87","64","테일","점소등상태","1","","0(소등)/1(점등)","점소등상태","290","개방"
"38","1","55","23","테일","등 밝기","3","%","000~100","000:소등 001~100: 점등(디밍)","50","개방"
"40","1","69","55","헤더","시리얼","8","","","시리얼","30","개방"
"40","1","69","55","테일","전력량2","5","Wh","Null / 0~3520","10분 동안의 누적 전력량(합)","120","개방"
"47","1","185","167","테일","진동(y)","7","g","0.00~16.00","10분 평균 진동(y)","160","개방"
"47","1","185","167","테일","진동(z)","7","g","0.00~16.00","10분 평균 진동(z)","170","개방"
"47","1","185","167","테일","진동(x) 최대","7","g","0.00~16.00","10분 최대 진동(x)","180","개방"
"47","1","185","167","테일","진동(y) 최대","7","g","0.00~16.00","10분 최대 진동(y)","190","개방"
"47","1","185","167","테일","진동(z) 최대","7","g","0.00~16.00","10분 최대 진동(z)","200","개방"
"47","1","185","167","테일","흑구 온도","7","℃","-40.0~120.0","10분 평균 흑구온도","210","개방"
"47","1","185","167","테일","초미세먼지 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"47","1","185","167","테일","미세먼지 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"47","1","185","167","테일","전송시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"47","1","185","167","테일","이산화질소","7","ppm","0~2000","10분 평균 이산화질소","260","개방"
"47","1","185","167","테일","이산화황","7","ppm","0~100000","10분 평균 이산화황","270","개방"
"47","1","185","167","테일","암모니아","7","ppm","0~100000 ","10분 평균 암모니아","280","개방"
"47","1","185","167","테일","황화수소","7","ppm","0~2000 ","10분 평균 황화수소","290","개방"
"47","1","185","167","테일","오존","7","ppm","0~2000","10분 평균 오존","300","개방"
"48","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"48","1","185","167","테일","구분(1:평균/2:최대값/3:최소값)","1","","1~3","1:평균/2:최대값/3:최소값","30","개방"
"48","1","185","167","테일","초미세먼지","4","㎍/㎥","0~1500","60분 평균 초미세먼지","40","개방"
"48","1","185","167","테일","미세먼지","4","㎍/㎥","0~1500","60분 평균 미세먼지","50","개방"
"48","1","185","167","테일","상대습도","3","%","0~100","60분 평균 상대습도","70","개방"
"73","1","202","184","테일","이산화황","7","ppm","0~2000","2분 평균 이산화황         표현범위 →    0 ? 2000 (관측값 × 1000)","260","개방"
"48","1","185","167","테일","풍향","4","°","0~360","60분 평균 풍향(시계방향)","80","개방"
"48","1","185","167","테일","돌풍 풍향","4","°","0~360","60분 돌풍 풍향(시계방향)","100","개방"
"48","1","185","167","테일","돌풍 풍속","7","m/s","0.0~100.0","60분 돌풍 풍속","110","개방"
"48","1","185","167","테일","조도","6","lux","0~120000","60분 평균 조도","120","개방"
"48","1","185","167","테일","자외선","7","UVI","0.0~16.0","60분 평균 자외선","130","개방"
"48","1","185","167","테일","진동(x)","7","g","0.00~16.00","60분 평균 진동(x)","150","개방"
"48","1","185","167","테일","진동(y)","7","g","0.00~16.00","60분 평균 진동(y)","160","개방"
"48","1","185","167","테일","진동(z)","7","g","0.00~16.00","60분 평균 진동(z)","170","개방"
"48","1","185","167","테일","진동(x) 최대","7","g","0.00~16.00","60분 최대 진동(x)","180","개방"
"48","1","185","167","테일","흑구 온도","7","℃","-40.0~120.0","60분 평균 흑구온도","210","개방"
"48","1","185","167","테일","초미세먼지 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"48","1","185","167","테일","미세먼지 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"48","1","185","167","테일","전송시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"48","1","185","167","테일","일산화탄소","7","","0~12500","60분 평균 일산화탄소","250","개방"
"48","1","185","167","테일","이산화질소","7","","0~2000","60분 평균 이산화질소","260","개방"
"48","1","185","167","테일","이산화황","7","","0~2000","60분 평균 이산화황","270","개방"
"48","1","185","167","테일","암모니아","7","","0~100000","60분 평균 암모니아","280","개방"
